Self-harm | C0424366
Poisoning by saline and osmotic laxatives, intentional self-harm, sequela | C2879749
Poisoning by ophthalmological drugs and preparations, intentional self-harm, sequela | C2883408
Poisoning by antidotes and chelating agents, intentional self-harm, sequela | C2883686
Toxic effect of zinc and its compounds, intentional self-harm | C2884543
Poisoning by glucocorticoids and synthetic analogues, intentional self-harm, sequela | C2876998
Poisoning by other estrogens and progestogens, intentional self-harm, sequela | C2877124
Toxic effect of lead and its compounds, intentional self-harm | C2884463
Toxic effect of mercury and its compounds, intentional self-harm | C2884479
Toxic effect of chromium and its compounds, intentional self-harm | C2884495
Toxic effect of beryllium and its compounds, intentional self-harm | C2884575
Toxic effect of phosphorus and its compounds, intentional self-harm | C2884656
Poisoning by succinimides and oxazolidinediones, intentional self-harm, subsequent encounter | C2878097
Poisoning by butyrophenone and thiothixene neuroleptics, intentional self-harm, sequela | C2878484
Toxic effect of venom of ants, intentional self-harm, sequela | C2885628
Poisoning by antihyperlipidemic and antiarteriosclerotic drugs, intentional self-harm, sequela | C2879544
Poisoning by local astringents and local detergents, intentional self-harm | C2883331
Poisoning by emollients, demulcents and protectants, intentional self-harm, sequela | C2883359
Poisoning by analeptics and opioid receptor antagonists, intentional self-harm | C2883708
Toxic effect of copper and its compounds, intentional self-harm | C2884527
Other intentional self-harm by drowning and submersion, initial encounter | C2905662
Other intentional self-harm by drowning and submersion, subsequent encounter | C2905663
Intentional self-harm by drowning and submersion, unspecified, initial encounter | C2905666
Poisoning by mineralocorticoids and their antagonists, intentional self-harm, sequela | C2883535
Poisoning by other vaccines and biological substances, intentional self-harm | C2883961
Toxic effect of cadmium and its compounds, intentional self-harm | C2884511
Toxic effect of manganese and its compounds, intentional self-harm | C2884672
Toxic effect of strychnine and its salts, intentional self-harm | C2885997
Intentional self-harm by drowning and submersion, unspecified, subsequent encounter | C2905667
Poisoning by other fibrinolysis-affecting drugs, intentional self-harm, sequela | C2879285
Poisoning by antirheumatics, not elsewhere classified, intentional self-harm, sequela | C2877489
Poisoning by ganglionic blocking drugs, intentional self-harm, initial encounter | C2878789
Poisoning by unspecified fibrinolysis-affecting drugs, intentional self-harm, sequela | C2879207
Poisoning by antifungal antibiotics, systemically used, intentional self-harm, sequela | C2876720
Poisoning by ganglionic blocking drugs, intentional self-harm, subsequent encounter | C2878790
Poisoning by dental drugs, topically applied, intentional self-harm, sequela | C2883458
Poisoning by drugs affecting uric acid metabolism, intentional self-harm | C2883633
Intentional self-harm by exposure to extremes of cold, sequela | C2905816
Poisoning by other synthetic narcotics, intentional self-harm, subsequent encounter | C5384947
Poisoning by other systemic antibiotics, intentional self-harm, subsequent encounter | C2876744
Poisoning by other hormone antagonists, intentional self-harm, subsequent encounter | C2877306
Poisoning by unspecified psychodysleptics [hallucinogens], intentional self-harm, initial encounter | C2877815
Poisoning by unspecified general anesthetics, intentional self-harm, subsequent encounter | C2877921
Poisoning by other general anesthetics, intentional self-harm, initial encounter | C2877946
Poisoning by other psychotropic drugs, intentional self-harm, subsequent encounter | C2878687
Poisoning by other parasympathomimetics [cholinergics], intentional self-harm, subsequent encounter | C2878764
Poisoning by alpha-adrenoreceptor antagonists, intentional self-harm, initial encounter | C2878895
Poisoning by other antidysrhythmic drugs, intentional self-harm, initial encounter | C2879440
Poisoning by other antihypertensive drugs, intentional self-harm, initial encounter | C2879517
Poisoning by unspecified topical agent, intentional self-harm, initial encounter | C2883507
Poisoning by unspecified topical agent, intentional self-harm, subsequent encounter | C2883508
Poisoning by other bacterial vaccines, intentional self-harm, subsequent encounter | C2883862
Poisoning by other viral vaccines, intentional self-harm, initial encounter | C2883912
Poisoning by unspecified hormone antagonists, intentional self-harm, subsequent encounter | C2877280
Poisoning by 4-Aminophenol derivatives, intentional self-harm, subsequent encounter | C2877383
Poisoning by other hormone antagonists, intentional self-harm, initial encounter | C2877305
Poisoning by propionic acid derivatives, intentional self-harm, initial encounter | C2877439
Poisoning by unspecified psychodysleptics [hallucinogens], intentional self-harm, subsequent encounter | C2877816
Poisoning by other psychodysleptics [hallucinogens], intentional self-harm, subsequent encounter | C2877842
Poisoning by selective serotonin reuptake inhibitors, intentional self-harm, sequela | C2878408
Poisoning by unspecified psychotropic drug, intentional self-harm, subsequent encounter | C2878713
Poisoning by unspecified psychotropic drug, intentional self-harm, initial encounter | C2878712
Poisoning by predominantly alpha-adrenoreceptor agonists, intentional self-harm, sequela | C2878845
Poisoning by predominantly beta-adrenoreceptor agonists, intentional self-harm, sequela | C2878871
Poisoning by alpha-adrenoreceptor antagonists, intentional self-harm, subsequent encounter | C2878896
Poisoning by beta-adrenoreceptor antagonists, intentional self-harm, subsequent encounter | C2878922
Poisoning by calcium-channel blockers, intentional self-harm, initial encounter | C2879413
Poisoning by angiotensin-converting-enzyme inhibitors, intentional self-harm, sequela | C2879493
Poisoning by other antihypertensive drugs, intentional self-harm, subsequent encounter | C2879518
Poisoning by calcium-channel blockers, intentional self-harm, subsequent encounter | C2879414
Poisoning by other topical agents, intentional self-harm, subsequent encounter | C2883483
Poisoning by other topical agents, intentional self-harm, initial encounter | C2883482
Poisoning by other bacterial vaccines, intentional self-harm, initial encounter | C2883861
Poisoning by other systemic antibiotics, intentional self-harm, initial encounter | C2876743
Poisoning by unspecified systemic antibiotic, intentional self-harm, initial encounter | C2876768
Poisoning by unspecified systemic antibiotic, intentional self-harm, subsequent encounter | C2876769
Toxic effect of chlorine gas, intentional self-harm, initial encounter | C2884897
Toxic effect of chlorine gas, intentional self-harm, subsequent encounter | C2884898
Toxic effect of lacrimogenic gas, intentional self-harm, subsequent encounter | C2884882
Poisoning by anterior pituitary [adenohypophyseal] hormones, intentional self-harm, sequela | C2877228
Poisoning by unspecified hormone antagonists, intentional self-harm, initial encounter | C2877279
Toxic effect of chewing tobacco, intentional self-harm, initial encounter | C2886015
Poisoning by other parasympathomimetics [cholinergics], intentional self-harm, initial encounter | C2878763
Poisoning by beta-adrenoreceptor antagonists, intentional self-harm, initial encounter | C2878921
Poisoning by other antidysrhythmic drugs, intentional self-harm, subsequent encounter | C2879441
Poisoning by other anti-common-cold drugs, intentional self-harm | C2880074
Poisoning by loop [high-ceiling] diuretics, intentional self-harm, sequela | C2883560
Poisoning by other viral vaccines, intentional self-harm, subsequent encounter | C2883913
Intentional self-harm by gas, air or spring-operated guns | C2905695
Intentional self-harm by steam or hot vapors, initial encounter | C2905726
Poisoning by other antiprotozoal drugs, intentional self-harm, initial encounter | C2876868
Poisoning by other antiprotozoal drugs, intentional self-harm, subsequent encounter | C2876869
Poisoning by 4-Aminophenol derivatives, intentional self-harm, initial encounter | C2877382
Poisoning by propionic acid derivatives, intentional self-harm, subsequent encounter | C2877440
Poisoning by other psychodysleptics [hallucinogens], intentional self-harm, initial encounter | C2877841
Poisoning by unspecified general anesthetics, intentional self-harm, initial encounter | C2877920
Poisoning by other general anesthetics, intentional self-harm, subsequent encounter | C2877947
Poisoning by monoamine-oxidase-inhibitor antidepressants, intentional self-harm, sequela | C2878330
Poisoning by other psychotropic drugs, intentional self-harm, initial encounter | C2878686
Poisoning by histamine H2-receptor blockers, intentional self-harm, sequela | C2879673
Toxic effect of lacrimogenic gas, intentional self-harm, initial encounter | C2884881
Toxic effect of chewing tobacco, intentional self-harm, subsequent encounter | C2886016
Poisoning by fentanyl or fentanyl analogs, intentional self-harm, sequela | C5384899
Poisoning by other synthetic narcotics, intentional self-harm, initial encounter | C5384946
Intentional self-harm by steam or hot vapors, subsequent encounter | C2905727
Toxic effect of venom of hornets, intentional self-harm, sequela | C2885679
Toxic effect of herbicides and fungicides, intentional self-harm, sequela | C2885061
Toxic effect of venom of tarantula, intentional self-harm, sequela | C2885560
Toxic effect of venom of scorpion, intentional self-harm, sequela | C2885509
Toxic effect of contact with sea anemone, intentional self-harm | C2885798
Toxic effect of contact with venomous toad, intentional self-harm | C2885883
Toxic effect of other tobacco and nicotine, intentional self-harm | C2886049
Toxic effect of venom of other spider, intentional self-harm | C2885591
Toxic effect of venom of bees, intentional self-harm, sequela | C2885662
Toxic effect of venom of wasps, intentional self-harm, sequela | C2885697
Toxic effect of contact with stingray, intentional self-harm, sequela | C2885731
Toxic effect of contact with other jellyfish, intentional self-harm | C2885781
Toxic effect of contact with venomous frog, intentional self-harm | C2885866
Toxic effect of venom of other arthropod, intentional self-harm | C2885710
Intentional self-harm by smoke, fire and flames, subsequent encounter | C2905723
Intentional self-harm by smoke, fire and flames, initial encounter | C2905722
Toxic effect of homologues of benzene, intentional self-harm, sequela | C2884122
Toxic effect of phenol and phenol homologues, intentional self-harm | C2884349
Toxic effect of organophosphate and carbamate insecticides, intentional self-harm | C2885010
Toxic effect of venom of other snake, intentional self-harm | C2885440
Toxic effect of venom of gila monster, intentional self-harm | C2885457
Toxic effect of venom of other reptiles, intentional self-harm | C2885490
Toxic effect of venom of caterpillars, intentional self-harm, sequela | C2885645
Asphyxiation due to smothering in furniture, intentional self-harm, sequela | C2886396
Other intentional self-harm by crashing of motor vehicle, sequela | C2905804
Toxic effect of 2-Propanol, intentional self-harm, initial encounter | C2884018
Toxic effect of unspecified alcohol, intentional self-harm, initial encounter | C2884068
Toxic effect of unspecified alcohol, intentional self-harm, subsequent encounter | C2884069
Toxic effect of petroleum products, intentional self-harm, subsequent encounter | C2884087
Toxic effect of other organic solvents, intentional self-harm, sequela | C2884170
Toxic effect of carbon tetrachloride, intentional self-harm, subsequent encounter | C2884202
Toxic effect of other corrosive organic compounds, intentional self-harm | C2884365
Toxic effect of unspecified corrosive substance, intentional self-harm, sequela | C2884416
Toxic effect of hydrogen cyanide, intentional self-harm, subsequent encounter | C2884690
Toxic effect of sulfur dioxide, intentional self-harm, subsequent encounter | C2884850
Toxic effect of unspecified pesticide, intentional self-harm, subsequent encounter | C2885108
Toxic effect of ingested mushrooms, intentional self-harm, initial encounter | C2885221
Toxic effect of rattlesnake venom, intentional self-harm, subsequent encounter | C2885323
Toxic effect of tobacco cigarettes, intentional self-harm, initial encounter | C2886033
Toxic effect of unspecified substance, intentional self-harm, initial encounter | C2886208
Intentional self-harm by unspecified larger firearm discharge, initial encounter | C2905691
Toxic effect of fusel oil, intentional self-harm, initial encounter | C2884036
Toxic effect of other alcohols, intentional self-harm, initial encounter | C2884052
Toxic effect of 2-Propanol, intentional self-harm, subsequent encounter | C2884019
Toxic effect of fusel oil, intentional self-harm, subsequent encounter | C2884037
Toxic effect of petroleum products, intentional self-harm, initial encounter | C2884086
Toxic effect of unspecified organic solvent, intentional self-harm, sequela | C2884186
Toxic effect of carbon tetrachloride, intentional self-harm, initial encounter | C2884201
Toxic effect of carbon dioxide, intentional self-harm, initial encounter | C2884945
Toxic effect of halogenated insecticides, intentional self-harm, subsequent encounter | C2885028
Toxic effect of other metals, intentional self-harm, subsequent encounter | C2884610
Toxic effect of unspecified metal, intentional self-harm, initial encounter | C2884625
Toxic effect of hydrogen cyanide, intentional self-harm, initial encounter | C2884689
Toxic effect of other specified inorganic substances, intentional self-harm | C2884704
Toxic effect of nitrogen oxides, intentional self-harm, initial encounter | C2884833
Toxic effect of carbon dioxide, intentional self-harm, subsequent encounter | C2884946
Toxic effect of other insecticides, intentional self-harm, subsequent encounter | C2885044
Toxic effect of other seafood, intentional self-harm, initial encounter | C2885189
Toxic effect of rattlesnake venom, intentional self-harm, initial encounter | C2885322
Toxic effect of coral snake venom, intentional self-harm, sequela | C2885341
Toxic effect of cobra venom, intentional self-harm, subsequent encounter | C2885374
Toxic effect of other pesticides, intentional self-harm, subsequent encounter | C2885092
Toxic effect of ingested mushrooms, intentional self-harm, subsequent encounter | C2885222
Toxic effect of ingested berries, intentional self-harm, initial encounter | C2885237
Toxic effect of cobra venom, intentional self-harm, initial encounter | C2885373
Toxic effect of unspecified spider venom, intentional self-harm, sequela | C2885526
Toxic effect of other specified substances, intentional self-harm, sequela | C2886194
Asphyxiation due to smothering under pillow, intentional self-harm, sequela | C2886332
Asphyxiation due to plastic bag, intentional self-harm, subsequent encounter | C2886348
Toxic effect of other metals, intentional self-harm, initial encounter | C2884609
Toxic effect of unspecified metal, intentional self-harm, subsequent encounter | C2884626
Toxic effect of nitrogen oxides, intentional self-harm, subsequent encounter | C2884834
Toxic effect of sulfur dioxide, intentional self-harm, initial encounter | C2884849
Toxic effect of unspecified seafood, intentional self-harm, initial encounter | C2885205
Toxic effect of unspecified seafood, intentional self-harm, subsequent encounter | C2885206
Toxic effect of ingested berries, intentional self-harm, subsequent encounter | C2885238
Toxic effect of tobacco cigarettes, intentional self-harm, subsequent encounter | C2886034
Toxic effect of carbon disulfide, intentional self-harm, initial encounter | C2886085
Toxic effect of carbon disulfide, intentional self-harm, subsequent encounter | C2886086
Toxic effect of unspecified substance, intentional self-harm, subsequent encounter | C2886209
Intentional self-harm by unspecified larger firearm discharge, subsequent encounter | C2905692
Intentional self-harm by other larger firearm discharge, initial encounter | C2905687
Intentional self-harm by jumping from a high place, sequela | C2905775
Toxic effect of other alcohols, intentional self-harm, subsequent encounter | C2884053
Toxic effect of unspecified inorganic substance, intentional self-harm, sequela | C2884723
Toxic effect of hydrogen sulfide, intentional self-harm, initial encounter | C2884929
Toxic effect of hydrogen sulfide, intentional self-harm, subsequent encounter | C2884930
Toxic effect of halogenated insecticides, intentional self-harm, initial encounter | C2885027
Toxic effect of other insecticides, intentional self-harm, initial encounter | C2885043
Toxic effect of other pesticides, intentional self-harm, initial encounter | C2885091
Toxic effect of unspecified pesticide, intentional self-harm, initial encounter | C2885107
Toxic effect of other seafood, intentional self-harm, subsequent encounter | C2885190
Toxic effect of unspecified snake venom, intentional self-harm, sequela | C2885307
Toxic effect of taipan venom, intentional self-harm, initial encounter | C2885356
Toxic effect of taipan venom, intentional self-harm, subsequent encounter | C2885357
Toxic effect of other mycotoxin food contaminants, intentional self-harm | C2885965
Asphyxiation due to plastic bag, intentional self-harm, initial encounter | C2886347
Intentional self-harm by other larger firearm discharge, subsequent encounter | C2905688
[X]Intentional self harm by drowning and submersion, occurrence on farm | C0480367
[X]Intentional self harm by other specified means, occurrence on farm | C0480499
[X]Intentional self harm by drowning and submersion, occurrence at home | C0480360
[X]Intentional self harm by unspecified means, occurrence in residential institution | C0480503
[X]Intentional self harm by other specified means, occurrence at home | C0480492
[X]Intentional self harm by explosive material, occurrence in residential institution | C0480405
[X]Intentional self harm by sharp object, occurrence in residential institution | C0480438
[X]Intentional self harm by blunt object, occurrence in residential institution | C0480449
[X]Intentional self harm by handgun discharge, occurrence in residential institution | C0480372
[X]Intentional self harm by blunt object, occurrence at unspecified place | C0480457
[X]Intentional self harm by sharp object, occurrence at unspecified place | C0480446
[X]Intentional self harm by handgun discharge, occurrence at unspecified place | C0480380
[X]Intentional self harm by explosive material, occurrence at unspecified place | C0480413
Toxic effect of harmful algae and algae toxins, intentional self-harm | C2886158
Sequelae of intentional self-harm, assault and events of undetermined intent | C0481357
self-inflicted overdose of antipyretics | C3506887
self-inflicted overdose of glucocorticoids | C3506899
self-inflicted overdose of nonsteroidal anti-inflammatory drugs (NSAIDs) | C3506923
self-inflicted overdose of antirheumatics | C3506891
Place patient with potential for self-harm with a roommate to decrease isolation and opportunity to act on self-harm thoughts, as appropriate | C0514325
Intentional self-harm by drowning and submersion while in swimming pool | C2905649
Intentional self-harm by drowning and submersion in natural water, sequela | C2905660
Intentional self-harm by drowning and submersion while in bathtub, sequela | C2905648
Poisoning by iron and its compounds, intentional self-harm, initial encounter | C2879126
Poisoning by other drugs acting on muscles, intentional self-harm, sequela | C2880001
Toxic effect of unspecified gases, fumes and vapors, intentional self-harm | C2884993
Poisoning by iron and its compounds, intentional self-harm, subsequent encounter | C2879127
Poisoning by unspecified drugs acting on muscles, intentional self-harm, sequela | C2879975
Poisoning by antivaricose drugs, including sclerosing agents, intentional self-harm, sequela | C2879595
Poisoning by thyroid hormones and substitutes, intentional self-harm, subsequent encounter | C2877022
Poisoning by androgens and anabolic congeners, intentional self-harm, initial encounter | C2877173
Poisoning by other antiepileptic and sedative-hypnotic drugs, intentional self-harm | C2878199
Poisoning by unspecified antipsychotics and neuroleptics, intentional self-harm, initial encounter | C2878509
Poisoning by other antipsychotics and neuroleptics, intentional self-harm, initial encounter | C2878535
Poisoning by other antipsychotics and neuroleptics, intentional self-harm, subsequent encounter | C2878536
Poisoning by antiallergic and antiemetic drugs, intentional self-harm, subsequent encounter | C2879027
Poisoning by antineoplastic and immunosuppressive drugs, intentional self-harm, initial encounter | C2879051
Poisoning by other primarily systemic and hematological agents, intentional self-harm | C2879335
Poisoning by emollients, demulcents and protectants, intentional self-harm, subsequent encounter | C2883358
Poisoning by ophthalmological drugs and preparations, intentional self-harm, subsequent encounter | C2883407
Poisoning by antidotes and chelating agents, intentional self-harm, initial encounter | C2883684
Poisoning by other drugs, medicaments and biological substances, intentional self-harm | C2883784
Poisoning by other vaccines and biological substances, intentional self-harm, sequela | C2883964
Toxic effect of chromium and its compounds, intentional self-harm, sequela | C2884498
Toxic effect of copper and its compounds, intentional self-harm, sequela | C2884530
Toxic effect of arsenic and its compounds, intentional self-harm, sequela | C2884643
Toxic effect of phosphorus and its compounds, intentional self-harm, sequela | C2884659
Asphyxiation due to being trapped in bed linens, intentional self-harm | C2886363
Poisoning by unspecified systemic anti-infective and antiparasitics, intentional self-harm | C2876969
Poisoning by glucocorticoids and synthetic analogues, intentional self-harm, subsequent encounter | C2876997
Poisoning by other estrogens and progestogens, intentional self-harm, initial encounter | C2877122
Poisoning by other estrogens and progestogens, intentional self-harm, subsequent encounter | C2877123
Poisoning by androgens and anabolic congeners, intentional self-harm, subsequent encounter | C2877174
Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, intentional self-harm | C2877536
Poisoning by other hormones and synthetic substitutes, intentional self-harm, sequela | C2877254
Poisoning by butyrophenone and thiothixene neuroleptics, intentional self-harm, initial encounter | C2878482
Poisoning by phenothiazine antipsychotics and neuroleptics, intentional self-harm, subsequent encounter | C2878457
Poisoning by antiallergic and antiemetic drugs, intentional self-harm, initial encounter | C2879026
Poisoning by antihyperlipidemic and antiarteriosclerotic drugs, intentional self-harm, initial encounter | C2879542
Poisoning by saline and osmotic laxatives, intentional self-harm, initial encounter | C2879747
Poisoning by saline and osmotic laxatives, intentional self-harm, subsequent encounter | C2879748
Poisoning by local astringents and local detergents, intentional self-harm, sequela | C2883334
Poisoning by mineralocorticoids and their antagonists, intentional self-harm, initial encounter | C2883533
Poisoning by emollients, demulcents and protectants, intentional self-harm, initial encounter | C2883357
Poisoning by ophthalmological drugs and preparations, intentional self-harm, initial encounter | C2883406
Poisoning by mineralocorticoids and their antagonists, intentional self-harm, subsequent encounter | C2883534
Poisoning by analeptics and opioid receptor antagonists, intentional self-harm, sequela | C2883711
Toxic effect of lead and its compounds, intentional self-harm, sequela | C2884466
Toxic effect of mercury and its compounds, intentional self-harm, sequela | C2884482
Toxic effect of zinc and its compounds, intentional self-harm, sequela | C2884546
Poisoning by thyroid hormones and substitutes, intentional self-harm, initial encounter | C2877021
Toxic effect of tin and its compounds, intentional self-harm, sequela | C2884562
Poisoning by phenothiazine antipsychotics and neuroleptics, intentional self-harm, initial encounter | C2878456
Toxic effect of venom of ants, intentional self-harm, initial encounter | C2885626
Toxic effect of venom of ants, intentional self-harm, subsequent encounter | C2885627
Poisoning by unspecified primarily systemic and hematological agent, intentional self-harm | C2879361
Poisoning by otorhinolaryngological drugs and preparations, intentional self-harm, initial encounter | C2883431
Poisoning by antidotes and chelating agents, intentional self-harm, subsequent encounter | C2883685
Poisoning by unspecified drugs, medicaments and biological substances, intentional self-harm | C2883759
Toxic effect of fluorine gas and hydrogen fluoride, intentional self-harm | C2884912
Poisoning by cephalosporins and other beta-lactam antibiotics, intentional self-harm | C2876568
Poisoning by glucocorticoids and synthetic analogues, intentional self-harm, initial encounter | C2876996
Poisoning by insulin and oral hypoglycemic [antidiabetic] drugs, intentional self-harm | C2877070
Poisoning by unspecified hormones and synthetic substitutes, intentional self-harm, sequela | C2877202
Poisoning by unspecified antiepileptic and sedative-hypnotic drugs, intentional self-harm | C2878225
Poisoning by selective serotonin and norepinephrine reuptake inhibitors, intentional self-harm | C2878379
Poisoning by butyrophenone and thiothixene neuroleptics, intentional self-harm, subsequent encounter | C2878483
Poisoning by unspecified antipsychotics and neuroleptics, intentional self-harm, subsequent encounter | C2878510
Poisoning by antineoplastic and immunosuppressive drugs, intentional self-harm, subsequent encounter | C2879052
Poisoning by antihyperlipidemic and antiarteriosclerotic drugs, intentional self-harm, subsequent encounter | C2879543
Poisoning by otorhinolaryngological drugs and preparations, intentional self-harm, subsequent encounter | C2883432
Poisoning by electrolytic, caloric and water-balance agents, intentional self-harm | C2883609
Toxic effect of cadmium and its compounds, intentional self-harm, sequela | C2884514
Toxic effect of beryllium and its compounds, intentional self-harm, sequela | C2884578
Toxic effect of manganese and its compounds, intentional self-harm, sequela | C2884675
Toxic effect of strychnine and its salts, intentional self-harm, sequela | C2886000
Poisoning by antifungal antibiotics, systemically used, intentional self-harm, subsequent encounter | C2876719
Poisoning by other fibrinolysis-affecting drugs, intentional self-harm, initial encounter | C2879283
Poisoning by skeletal muscle relaxants [neuromuscular blocking agents], intentional self-harm | C2879945
Poisoning by antirheumatics, not elsewhere classified, intentional self-harm, initial encounter | C2877487
Poisoning by unspecified fibrinolysis-affecting drugs, intentional self-harm, subsequent encounter | C2879206
Poisoning by other fibrinolysis-affecting drugs, intentional self-harm, subsequent encounter | C2879284
Poisoning by other agents primarily affecting gastrointestinal system, intentional self-harm | C2879869
Poisoning by dental drugs, topically applied, intentional self-harm, initial encounter | C2883456
Poisoning by antirheumatics, not elsewhere classified, intentional self-harm, subsequent encounter | C2877488
Poisoning by drugs affecting uric acid metabolism, intentional self-harm, sequela | C2883636
Poisoning by antifungal antibiotics, systemically used, intentional self-harm, initial encounter | C2876718
Poisoning by antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, intentional self-harm | C2877147
Poisoning by unspecified fibrinolysis-affecting drugs, intentional self-harm, initial encounter | C2879205
Poisoning by dental drugs, topically applied, intentional self-harm, subsequent encounter | C2883457
Intentional self-harm by other and unspecified firearm and gun discharge | C2905694
Intentional self-harm by exposure to extremes of cold, initial encounter | C2905814
Intentional self-harm by exposure to extremes of cold, subsequent encounter | C2905815
Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], intentional self-harm | C2877461
Poisoning by selective serotonin reuptake inhibitors, intentional self-harm, initial encounter | C2878406
Poisoning by predominantly alpha-adrenoreceptor agonists, intentional self-harm, initial encounter | C2878843
Poisoning by other anti-common-cold drugs, intentional self-harm, sequela | C2880077
Poisoning by anterior pituitary [adenohypophyseal] hormones, intentional self-harm, initial encounter | C2877226
Poisoning by monoamine-oxidase-inhibitor antidepressants, intentional self-harm, subsequent encounter | C2878329
Poisoning by selective serotonin reuptake inhibitors, intentional self-harm, subsequent encounter | C2878407
Poisoning by histamine H2-receptor blockers, intentional self-harm, initial encounter | C2879671
Poisoning by loop [high-ceiling] diuretics, intentional self-harm, initial encounter | C2883558
Poisoning by loop [high-ceiling] diuretics, intentional self-harm, subsequent encounter | C2883559
Poisoning by anterior pituitary [adenohypophyseal] hormones, intentional self-harm, subsequent encounter | C2877227
Poisoning by monoamine-oxidase-inhibitor antidepressants, intentional self-harm, initial encounter | C2878328
Poisoning by predominantly beta-adrenoreceptor agonists, intentional self-harm, initial encounter | C2878869
Poisoning by predominantly beta-adrenoreceptor agonists, intentional self-harm, subsequent encounter | C2878870
Poisoning by angiotensin-converting-enzyme inhibitors, intentional self-harm, initial encounter | C2879491
Intentional self-harm by other gas, air or spring-operated gun | C2905706
Poisoning by predominantly alpha-adrenoreceptor agonists, intentional self-harm, subsequent encounter | C2878844
Poisoning by angiotensin-converting-enzyme inhibitors, intentional self-harm, subsequent encounter | C2879492
Poisoning by histamine H2-receptor blockers, intentional self-harm, subsequent encounter | C2879672
Toxic effect of carbon monoxide from utility gas, intentional self-harm | C2884761
Poisoning by fentanyl or fentanyl analogs, intentional self-harm, initial encounter | C5384897
Poisoning by fentanyl or fentanyl analogs, intentional self-harm, subsequent encounter | C5384898
Toxic effect of venom of other Australian snake, intentional self-harm | C2885406
Toxic effect of venom of gila monster, intentional self-harm, sequela | C2885460
Toxic effect of venom of scorpion, intentional self-harm, subsequent encounter | C2885508
Toxic effect of venom of brown recluse spider, intentional self-harm | C2885574
Toxic effect of venom of bees, intentional self-harm, initial encounter | C2885660
Toxic effect of contact with stingray, intentional self-harm, subsequent encounter | C2885730
Toxic effect of contact with other venomous plant, intentional self-harm | C2885849
Toxic effect of contact with venomous toad, intentional self-harm, sequela | C2885886
Asphyxiation due to smothering in furniture, intentional self-harm, initial encounter | C2886394
Toxic effect of homologues of benzene, intentional self-harm, subsequent encounter | C2884121
Toxic effect of organophosphate and carbamate insecticides, intentional self-harm, sequela | C2885013
Toxic effect of venom of scorpion, intentional self-harm, initial encounter | C2885507
Toxic effect of venom of black widow spider, intentional self-harm | C2885540
Toxic effect of venom of other snake, intentional self-harm, sequela | C2885443
Toxic effect of venom of wasps, intentional self-harm, initial encounter | C2885695
Toxic effect of contact with other jellyfish, intentional self-harm, sequela | C2885784
Toxic effect of contact with venomous frog, intentional self-harm, sequela | C2885869
Toxic effect of contact with other venomous amphibian, intentional self-harm | C2885900
Toxic effect of other tobacco and nicotine, intentional self-harm, sequela | C2886052
Toxic effect of venom of other spider, intentional self-harm, sequela | C2885594
Toxic effect of venom of hornets, intentional self-harm, subsequent encounter | C2885678
Toxic effect of venom of wasps, intentional self-harm, subsequent encounter | C2885696
Toxic effect of venom of other arthropod, intentional self-harm, sequela | C2885713
Toxic effect of contact with unspecified venomous animal, intentional self-harm | C2885932
Toxic effect of homologues of benzene, intentional self-harm, initial encounter | C2884120
Toxic effect of herbicides and fungicides, intentional self-harm, subsequent encounter | C2885060
Toxic effect of venom of other venomous lizard, intentional self-harm | C2885474
Toxic effect of venom of tarantula, intentional self-harm, initial encounter | C2885558
Toxic effect of venom of bees, intentional self-harm, subsequent encounter | C2885661
Toxic effect of venom of hornets, intentional self-harm, initial encounter | C2885677
Toxic effect of contact with stingray, intentional self-harm, initial encounter | C2885729
Toxic effect of contact with venomous marine plant, intentional self-harm | C2885832
Other intentional self-harm by crashing of motor vehicle, initial encounter | C2905802
Other intentional self-harm by crashing of motor vehicle, subsequent encounter | C2905803
Toxic effect of phenol and phenol homologues, intentional self-harm, sequela | C2884352
Toxic effect of herbicides and fungicides, intentional self-harm, initial encounter | C2885059
Toxic effect of venom of other reptiles, intentional self-harm, sequela | C2885493
Toxic effect of venom of tarantula, intentional self-harm, subsequent encounter | C2885559
Toxic effect of venom of caterpillars, intentional self-harm, initial encounter | C2885643
Toxic effect of venom of caterpillars, intentional self-harm, subsequent encounter | C2885644
Toxic effect of contact with other venomous fish, intentional self-harm | C2885745
Toxic effect of contact with sea anemone, intentional self-harm, sequela | C2885801
Toxic effect of contact with other venomous animals, intentional self-harm | C2885916
Asphyxiation due to smothering in furniture, intentional self-harm, subsequent encounter | C2886395
Toxic effect of unspecified organic solvent, intentional self-harm, subsequent encounter | C2884185
Toxic effect of other specified inorganic substances, intentional self-harm, sequela | C2884707
Toxic effect of other organic solvents, intentional self-harm, initial encounter | C2884168
Toxic effect of other organic solvents, intentional self-harm, subsequent encounter | C2884169
Toxic effect of unspecified organic solvent, intentional self-harm, initial encounter | C2884184
Toxic effect of unspecified corrosive substance, intentional self-harm, subsequent encounter | C2884415
Toxic effect of unspecified inorganic substance, intentional self-harm, subsequent encounter | C2884722
Toxic effect of carbon monoxide from unspecified source, intentional self-harm | C2884816
Toxic effect of carbon monoxide from other source, intentional self-harm | C2884799
Toxic effect of unspecified snake venom, intentional self-harm, subsequent encounter | C2885306
